# Deterministic retail-input path that unlocks the complete N64 roster and
# returns to the main menu.  Follow-up rows intentionally stop at the menu so
# later location navigation can be based on captured UI state, not guesses.
120,124,A,0,0
750,754,START,0,0
870,874,DD,0,0
900,904,DD,0,0
930,934,DD,0,0
960,964,A,0,0
1170,1174,DD,0,0
1200,1204,A,0,0
1260,1260,PASSCODE:JTBT7CFD1LRMGW,0,0
1980,1984,CU,0,0
2340,2344,DU,0,0
2370,2374,A,0,0
2820,2824,DD,0,0
2850,2854,A,0,0
# Scan the unlocked location table one entry at a time.
3060,3064,DD,0,0
3120,3124,DD,0,0
3180,3184,DD,0,0
3240,3244,DD,0,0
3300,3304,DD,0,0
3360,3364,DD,0,0
3420,3424,DD,0,0
3480,3484,DD,0,0
3540,3544,DD,0,0
3600,3604,DD,0,0
